pl_name,hostname,default_flag,soltype,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,pl_insol,pl_rade,pl_radeerr1,pl_radeerr2,pl_radj,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_rad,st_mass,st_met,st_meterr1,st_meterr2,st_age,st_logg,sy_dist,pl_refname,st_refname,disc_refname
"Kepler-6 b","Kepler-6",1,"Published Confirmed",2009,"Transit",3.23469960000,0.0485200000,,1460.00,,14.61653600,0.20176200,-0.36989700,1.30400000,212.31044000,12.07754000,-11.12405000,0.66800000,"Mass",0.400000,,5647.00,44.00,-44.00,1.391000,1.209000,0.3400,0.0400,-0.0400,,4.236000,587.03900000,"<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>","<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>","<a refstr=DUNHAM_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...713L.136D/abstract target=ref> Dunham et al. 2010 </a>"
"Kepler-491 b","Kepler-491",1,"Published Confirmed",2016,"Transit",4.22538451200,,,,,8.92000000,0.80000000,-0.51000000,0.79578910,,,,,,,,5582.00,53.81,-61.11,1.030000,1.040000,0.3700,0.0490,-0.0530,4.4700,4.420000,630.78500000,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>"
"Kepler-257 b","Kepler-257",1,"Published Confirmed",2014,"Transit",2.38266700000,0.0340000000,,,,2.61000000,1.31000000,-1.31000000,0.23300000,,,,,,,,5180.00,200.00,-200.00,1.037000,,,,,,4.360000,780.25600000,"<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>","<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>","<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>"
"Kepler-216 b","Kepler-216",1,"Published Confirmed",2014,"Transit",7.69364100000,0.0790000000,,,,2.35000000,0.46000000,-0.46000000,0.21000000,,,,,,,,6091.00,120.00,-120.00,1.260000,,,,,,4.280000,1187.47000000,"<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>","<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>","<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>"
"Kepler-32 c","Kepler-32",1,"Published Confirmed",2011,"Transit",8.75220000000,0.0900000000,,,,2.00000000,0.20000000,-0.20000000,0.17800000,158.90000000,,,0.50000000,"Mass",,,3900.00,200.00,-200.00,0.530000,0.580000,0.0000,0.4000,-0.4000,,4.640000,323.84700000,"<a refstr=FABRYCKY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract target=ref> Fabrycky et al. 2012 </a>","<a refstr=FABRYCKY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract target=ref> Fabrycky et al. 2012 </a>","<a refstr=FABRYCKY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract target=ref> Fabrycky et al. 2012 </a>"
"Kepler-259 c","Kepler-259",1,"Published Confirmed",2014,"Transit",36.92493100000,0.2170000000,,,,2.70000000,1.31000000,-1.31000000,0.24100000,,,,,,,,5938.00,200.00,-200.00,0.898000,,,,,,4.532000,1002.14000000,"<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>","<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>","<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>"
"Kepler-148 c","Kepler-148",1,"Published Confirmed",2014,"Transit",4.18004300000,0.0500000000,,,,3.60000000,1.76000000,-1.76000000,0.32100000,,,,,,,,5272.00,200.00,-200.00,0.851000,,,,,,4.546000,791.16300000,"<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>","<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>","<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>"
"Kepler-222 d","Kepler-222",1,"Published Confirmed",2014,"Transit",28.08191200000,0.1800000000,,,,3.69000000,1.63000000,-1.63000000,0.32900000,,,,,,,,5433.00,200.00,-200.00,0.869000,,,,,,4.551000,758.85400000,"<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>","<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>","<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>"
"Kepler-29 c","Kepler-29",1,"Published Confirmed",2011,"Transit",13.28613000000,,0.000000,,34.4000,2.34000000,0.12000000,-0.11000000,0.20876082,4.50000000,1.10000000,-1.10000000,0.01415851,"Mass",1.910000,,5378.00,60.00,-60.00,0.732000,0.761000,-0.4400,0.0400,-0.0400,,4.600000,832.53200000,"<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>","<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>","<a refstr=FABRYCKY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract target=ref> Fabrycky et al. 2012 </a>"
"Kepler-179 b","Kepler-179",1,"Published Confirmed",2014,"Transit",2.73592600000,0.0360000000,,,,1.64000000,0.68000000,-0.68000000,0.14600000,,,,,,,,5302.00,200.00,-200.00,0.759000,,,,,,4.613000,605.68000000,"<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>","<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>","<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>"
